document_id,filename,format,domain,access_level,version,status
DOC-001,README.md,MD,governance,public,1.0,active
DOC-002,source_register.md,MD,governance,public,1.0,active
DOC-003,document_catalog.csv,CSV,metadata,public,1.0,active
DOC-004,access_matrix.csv,CSV,security,restricted,1.0,active
DOC-005,evaluation_questions.json,JSON,evaluation,public,1.0,active
DOC-006,chunking_benchmark.md,MD,engineering,developer,1.0,active
DOC-007,system_architecture.md,MD,engineering,developer,2.1,active
DOC-008,ingestion_runbook.md,MD,engineering,developer,1.4,active
DOC-009,api_authentication.md,MD,api,developer,3.0,active
DOC-010,transaction_processing.md,MD,payments,operations,4.2,active
DOC-011,account_management.docx,DOCX,accounts,operations,2.8,active
DOC-012,customer_onboarding.docx,DOCX,kyc,compliance,5.1,active
DOC-013,transaction_reversal_sop.docx,DOCX,payments,operations,3.2,active
DOC-014,incident_response_runbook.docx,DOCX,operations,restricted,6.0,active
DOC-015,release_notes.docx,DOCX,engineering,developer,2026.08,active
DOC-016,kyc_policy.pdf,PDF,kyc,compliance,2026.2,active
DOC-017,digital_payment_security.pdf,PDF,security,restricted,2026.1,active
DOC-018,upi_integration_guide.pdf,PDF,payments,developer,2.4,active
DOC-019,imps_operations_guide.pdf,PDF,payments,operations,3.7,active
DOC-020,error_code_reference.pdf,PDF,support,operations,8.5,active
DOC-021,payment_reconciliation.pdf,PDF,payments,finance,4.0,active
DOC-022,api_openapi.yaml,YAML,api,developer,3.1,active
DOC-023,transaction_event_schema.json,JSON,api,developer,1.3,active
DOC-024,sample_incident_logs.txt,TXT,operations,restricted,2026.08.21,active
DOC-025,support_faq.txt,TXT,support,operations,2.6,active
DOC-026,product_pricing_matrix.csv,CSV,products,product,2026.08,active
DOC-027,sla_policy.md,MD,operations,restricted,5.0,active
DOC-028,data_retention_policy.html,HTML,governance,restricted,2026.3,active
DOC-029,change_management_policy.html,HTML,engineering,developer,2026.4,active
DOC-030,support_tickets.ndjson,NDJSON,support,operations,2026.08,active
